Province,Date,Cumulative confirmed cases,Confirmed cases per day,Cumulative death cases,Deaths per day,Cumulative hospitalizations cases,hospitalizations per day,Cumulative vaccine coverage dose1,Vaccine coverage dose1 per day,Mortality rate,Daily mortality rate
British Columbia,2021-09-03,168893,690,1827,3,215,16,74.6,0.0,1.082,0.435
Alberta,2021-09-03,258282,1310,2390,0,515,28,65.2,0.0,0.925,0.0
Prince Edward Island,2021-09-04,233,0,0,0,0,0,78.5,0.5,0.0,0.0
Newfoundland and Labrador,2021-09-04,1491,0,7,0,0,0,80.5,0.5,0.469,0.0
Nunavut,2021-09-04,658,0,4,0,0,0,60.6,0.4,0.608,0.0
Alberta,2021-09-04,259730,1448,2390,0,515,0,65.8,0.6,0.92,0.0
British Columbia,2021-09-04,169555,662,1827,0,215,0,75.3,0.7,1.078,0.0
Yukon,2021-09-04,754,2,8,0,0,0,75.4,0.2,1.061,0.0
Quebec,2021-09-04,386582,646,10588,4,147,0,75.8,0.7,2.739,0.619
Northwest Territories,2021-09-04,499,13,1,0,9,0,67.9,0.6,0.2,0.0
New Brunswick,2021-09-04,2798,0,46,0,3,0,74.9,1.2,1.644,0.0
Manitoba,2021-09-04,58887,41,1197,1,23,0,72.0,0.9,2.033,2.439
Ontario,2021-09-04,570021,650,9357,7,357,27,73.4,0.6,1.642,1.077
Saskatchewan,2021-09-04,55750,354,610,0,138,3,65.7,0.6,1.094,0.0
Yukon,2021-09-05,755,1,8,0,0,0,75.4,0.0,1.06,0.0
Quebec,2021-09-05,387205,623,10589,1,149,2,75.8,0.0,2.735,0.161
Newfoundland and Labrador,2021-09-05,1491,0,7,0,0,0,80.5,0.0,0.469,0.0
Manitoba,2021-09-05,58930,43,1198,1,23,0,72.0,0.0,2.033,2.326
New Brunswick,2021-09-05,2798,0,46,0,3,0,74.9,0.0,1.644,0.0
Northwest Territories,2021-09-05,499,0,1,0,9,0,67.9,0.0,0.2,0.0
Saskatchewan,2021-09-05,56139,389,611,1,138,0,65.7,0.0,1.088,0.257
Nunavut,2021-09-05,658,0,4,0,0,0,60.6,0.0,0.608,0.0
Ontario,2021-09-05,570636,615,9362,5,367,10,73.4,0.0,1.641,0.813
Alberta,2021-09-05,260541,811,2390,0,515,0,65.8,0.0,0.917,0.0
British Columbia,2021-09-05,170133,578,1827,0,215,0,75.3,0.0,1.074,0.0
Prince Edward Island,2021-09-05,233,0,0,0,0,0,78.5,0.0,0.0,0.0
Newfoundland and Labrador,2021-09-06,1506,15,7,0,1,1,80.5,0.0,0.465,0.0
Quebec,2021-09-06,387681,476,10589,0,160,11,75.8,0.0,2.731,0.0
Ontario,2021-09-06,571155,519,9368,6,376,9,73.4,0.0,1.64,1.156
British Columbia,2021-09-06,170678,545,1827,0,215,0,75.3,0.0,1.07,0.0
Northwest Territories,2021-09-06,499,0,1,0,9,0,67.9,0.0,0.2,0.0
Saskatchewan,2021-09-06,56533,394,612,1,145,7,65.7,0.0,1.083,0.254
New Brunswick,2021-09-06,2798,0,46,0,3,0,74.9,0.0,1.644,0.0
Prince Edward Island,2021-09-06,233,0,0,0,0,0,78.5,0.0,0.0,0.0
Yukon,2021-09-06,755,0,8,0,0,0,75.4,0.0,1.06,0.0
Alberta,2021-09-06,261837,1296,2407,17,515,0,65.8,0.0,0.919,1.312
Manitoba,2021-09-06,58962,32,1199,1,23,0,72.0,0.0,2.034,3.125
Nunavut,2021-09-06,658,0,4,0,0,0,60.6,0.0,0.608,0.0
Yukon,2021-09-07,756,1,8,0,0,0,75.4,0.0,1.058,0.0
Alberta,2021-09-07,263056,1219,2425,18,602,87,65.8,0.0,0.922,1.477
Quebec,2021-09-07,388277,596,10593,4,171,11,75.8,0.0,2.728,0.671
Manitoba,2021-09-07,58995,33,1199,0,32,9,72.0,0.0,2.032,0.0
Prince Edward Island,2021-09-07,235,2,0,0,0,0,78.5,0.0,0.0,0.0
British Columbia,2021-09-07,171373,695,1842,15,255,40,75.3,0.0,1.075,2.158
Nova Scotia,2021-09-07,6043,29,94,0,2,2,76.5,0.0,1.556,0.0
New Brunswick,2021-09-07,2852,54,47,1,4,1,74.9,0.0,1.648,1.852
Nunavut,2021-09-07,658,0,4,0,0,0,60.6,0.0,0.608,0.0
Northwest Territories,2021-09-07,499,0,1,0,9,0,67.9,0.0,0.2,0.0
Saskatchewan,2021-09-07,56838,305,613,1,154,9,65.7,0.0,1.079,0.328
Newfoundland and Labrador,2021-09-07,1511,5,7,0,1,0,80.5,0.0,0.463,0.0
Ontario,2021-09-08,572681,854,9377,5,375,9,73.4,0.0,1.637,0.585
Nunavut,2021-09-08,658,0,4,0,0,0,60.6,0.0,0.608,0.0
Saskatchewan,2021-09-08,57243,405,615,2,181,27,65.7,0.0,1.074,0.494
Northwest Territories,2021-09-08,522,23,1,0,16,7,67.9,0.0,0.192,0.0
Prince Edward Island,2021-09-08,236,1,0,0,0,0,78.5,0.0,0.0,0.0
Quebec,2021-09-08,388904,627,10595,2,178,7,75.8,0.0,2.724,0.319
Yukon,2021-09-08,760,4,9,1,0,0,75.4,0.0,1.184,25.0
Newfoundland and Labrador,2021-09-08,1520,9,7,0,1,0,80.5,0.0,0.461,0.0
British Columbia,2021-09-08,172188,815,1842,0,261,6,75.3,0.0,1.07,0.0
New Brunswick,2021-09-08,2868,16,47,0,5,1,74.9,0.0,1.639,0.0
Alberta,2021-09-08,264553,1497,2434,9,647,45,65.8,0.0,0.92,0.601
Prince Edward Island,2021-09-09,236,0,0,0,0,0,78.5,0.0,0.0,0.0
Alberta,2021-09-09,266027,1474,2444,10,679,32,65.8,0.0,0.919,0.678
Nunavut,2021-09-09,658,0,4,0,0,0,60.6,0.0,0.608,0.0
Northwest Territories,2021-09-09,540,18,1,0,16,0,67.9,0.0,0.185,0.0
Yukon,2021-09-09,760,0,9,0,0,0,75.4,0.0,1.184,0.0
Newfoundland and Labrador,2021-09-09,1520,0,7,0,1,0,80.5,0.0,0.461,0.0
Nova Scotia,2021-09-09,6074,17,94,0,1,0,76.5,0.0,1.548,0.0
British Columbia,2021-09-09,173028,840,1847,5,262,1,75.3,0.0,1.067,0.595
Saskatchewan,2021-09-09,57521,278,616,1,184,3,65.7,0.0,1.071,0.36
Manitoba,2021-09-09,59104,55,1201,1,35,4,72.0,0.0,2.032,1.818
Quebec,2021-09-09,389664,760,10597,2,198,20,75.8,0.0,2.72,0.263
New Brunswick,2021-09-09,2885,17,47,0,6,1,74.9,0.0,1.629,0.0
Quebec,2021-09-10,390612,948,10599,2,207,9,75.8,0.0,2.713,0.211
New Brunswick,2021-09-10,2909,24,47,0,6,0,74.9,0.0,1.616,0.0
British Columbia,2021-09-10,173887,859,1856,9,281,19,75.3,0.0,1.067,1.048
Saskatchewan,2021-09-10,57952,431,617,1,190,6,65.7,0.0,1.065,0.232
Nova Scotia,2021-09-10,6085,11,94,0,1,0,76.5,0.0,1.545,0.0
Alberta,2021-09-10,267676,1649,2444,0,686,7,65.8,0.0,0.913,0.0
